user,time,name,Activity,total Volume,total Packets,primary Packet % ,primary Volume % ,primary Total TCP Packets ,primary Total TCP Volume ,real time Packet % ,real time Volume % ,real time Total UDP Packets ,real time Total UDP Volume 
a.b.c.d,1646972573,Multiverse2,MH,203893,777,0.088803,0.023301,69,4751,0.858430,0.835061,170263,667
a.b.c.d,1646972593,Multiverse2,MH,208224,796,0.095477,0.058706,76,12224,0.820352,0.806204,167871,653
a.b.c.d,1646972613,Multiverse2,MH,172502,676,0.032544,0.026359,22,4547,0.908284,0.938279,161855,614
a.b.c.d,1646972633,Multiverse2,MH,218278,882,0.199546,0.066791,176,14579,0.758503,0.785164,171384,669
a.b.c.d,1646972653,Multiverse2,MH,241247,916,0.168122,0.094434,154,22782,0.731441,0.730218,176163,670
a.b.c.d,1646972673,Multiverse2,MH,171240,681,0.010279,0.018039,7,3089,0.920705,0.939010,160796,627
a.b.c.d,1646972693,Multiverse2,MH,181457,738,0.085366,0.027274,63,4949,0.878049,0.940923,170737,648
a.b.c.d,1646972713,Multiverse2,MH,220288,997,0.267803,0.101395,267,22336,0.675025,0.754095,166118,673
a.b.c.d,1646972733,Multiverse2,MH,190963,841,0.252081,0.135084,212,25796,0.686088,0.804187,153570,577
a.b.c.d,1646972753,Multiverse2,MH,175859,780,0.128205,0.042489,100,7472,0.843590,0.931053,163734,658
a.b.c.d,1646972773,Multiverse2,SUE,327097,1993,0.613146,0.284484,1222,93054,0.335173,0.525584,171917,668
a.b.c.d,1646972793,Multiverse2,SUE,1121036,13708,0.963890,0.808038,13213,905840,0.022031,0.080129,89827,302
a.b.c.d,1646972813,Multiverse2,SUE,3455349,50195,0.989740,0.954083,49680,3296691,0.009622,0.043302,149623,483
a.b.c.d,1646972833,Multiverse2,SUE,3118797,45135,0.988280,0.949242,44606,2960492,0.011011,0.048868,152410,497
a.b.c.d,1646972853,Multiverse2,SUE,1460984,18976,0.973387,0.871192,18471,1272797,0.021922,0.096763,141369,416
